Region,Year,Population,shapeGroup,shapeName,shapeType
Croatia – Split-Dalmatia,1975,416221.1107354745,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,1980,441213.2503242047,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,1985,461048.97321878665,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,1990,475833.7449242424,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,1995,472125.262640178,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2000,451746.152304288,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2005,444547.8360307527,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2010,442805.4227362949,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2015,436090.27064630727,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2020,422315.20549322455,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2025,411048.6760362734,HRV,Split-Dalmatia,ADM1
Croatia – Split-Dalmatia,2030,402672.0734814707,HRV,Split-Dalmatia,ADM1
Cyprus – Nicosia,1975,270521.6775697228,CYP,Nicosia,ADM1
Cyprus – Nicosia,1980,286279.693699484,CYP,Nicosia,ADM1
Cyprus – Nicosia,1985,306279.0089236025,CYP,Nicosia,ADM1
Cyprus – Nicosia,1990,326187.3932609054,CYP,Nicosia,ADM1
Cyprus – Nicosia,1995,350727.42202107544,CYP,Nicosia,ADM1
Cyprus – Nicosia,2000,378281.9583162513,CYP,Nicosia,ADM1
Cyprus – Nicosia,2005,404890.924553977,CYP,Nicosia,ADM1
Cyprus – Nicosia,2010,433539.8893997856,CYP,Nicosia,ADM1
Cyprus – Nicosia,2015,452748.1147465935,CYP,Nicosia,ADM1
Cyprus – Nicosia,2020,472798.7805512697,CYP,Nicosia,ADM1
Cyprus – Nicosia,2025,485248.54299467365,CYP,Nicosia,ADM1
Cyprus – Nicosia,2030,496865.0435229611,CYP,Nicosia,ADM1
France – Provence-Alpes-Côte d'Azur,1975,3527471.6405290365,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,1980,3835008.333843297,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,1985,4048746.628234538,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,1990,4197106.717840605,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,1995,4316789.091313019,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,2000,4458176.544570908,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,2005,4653535.758466061,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,2010,4806436.788794868,FRA,Provence-Alpes-Côte d'Azur,ADM1
France – Provence-Alpes-Côte d'Azur,2015,4890617.616831915,FRA,Provence-Alpes-Côte d'Azur,ADM1
